ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
3b1a98e4-9bc6-416c-801d-141e1bdca54d|Animate Wall|{W}|Enchantment - Aura|||Enchant Wall<br>Enchanted Wall can attack as though it didn't have defender.|Summer Magic / Edgar|Rare||Dan Frazier|1|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/1/animate-wall?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3b1a98e4-9bc6-416c-801d-141e1bdca54d.jpg?1559593006}
571bca7c-8655-4ff5-902c-c50fee371832|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Summer Magic / Edgar|Rare||Jesper Myrfors|2|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/2/armageddon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/571bca7c-8655-4ff5-902c-c50fee371832.jpg?1559593045}
3095d590-f105-4338-b96c-4fc2972912ca|Balance|{1}{W}|Sorcery|||Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.|Summer Magic / Edgar|Rare||Mark Poole|3|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/3/balance?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/3095d590-f105-4338-b96c-4fc2972912ca.jpg?1559593109}
78ee3eb7-6fb4-4dc0-8338-9666fe58ca71|Benalish Hero|{W}|Creature - Human Soldier|1|1|Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Summer Magic / Edgar|Common||Douglas Shuler|4|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/4/benalish-hero?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/78ee3eb7-6fb4-4dc0-8338-9666fe58ca71.jpg?1559593085}
b50159f3-47d2-4f10-ad52-3adc751f7be5|Black Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from black. This effect doesn't remove this Aura.|Summer Magic / Edgar|Uncommon||Dan Frazier|5|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/5/black-ward?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b50159f3-47d2-4f10-ad52-3adc751f7be5.jpg?1559592979}
fe6f4388-dd4b-4697-b234-561ef9ed277a|Blessing|{W}{W}|Enchantment - Aura|||Enchant creature<br>{W}: Enchanted creature gets +1/+1 until end of turn.|Summer Magic / Edgar|Rare||Julie Baroh|6|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/6/blessing?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe6f4388-dd4b-4697-b234-561ef9ed277a.jpg?1559592748}
42b7e6e7-eb3a-41be-8459-b90ea228b3f9|Blue Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has protection from blue. This effect doesn't remove this Aura.|Summer Magic / Edgar|Uncommon||Dan Frazier|7|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/7/blue-ward?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/42b7e6e7-eb3a-41be-8459-b90ea228b3f9.jpg?1559592639}
f60cd0ad-43b9-4c8e-a10f-cbd240cbe120|Castle|{3}{W}|Enchantment|||Untapped creatures you control get +0/+2.|Summer Magic / Edgar|Uncommon||Dameon Willich|8|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/8/castle?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f60cd0ad-43b9-4c8e-a10f-cbd240cbe120.jpg?1559593077}
aecc8ebf-8a32-403f-b3f8-5bbda265ad0a|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.|Summer Magic / Edgar|Common||Jesper Myrfors|9|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/9/circle-of-protection:-black?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/e/aecc8ebf-8a32-403f-b3f8-5bbda265ad0a.jpg?1559592838}
7f09d805-ce3a-4f5a-8ea3-fe07f652af3c|Circle of Protection: Blue|{1}{W}|Enchantment|||{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.|Summer Magic / Edgar|Common||Dameon Willich|10|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/sum/10/circle-of-protection:-blue?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f09d805-ce3a-4f5a-8ea3-fe07f652af3c.jpg?1559593069}
