ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
233c8fbd-7ad7-4271-8e39-64b70c16b492|Winchester Draft // Winchester Draft (cont'd)||Card|||2 players &vert; 6 packs &vert; 30 min &vert; Basic Lands<br>OBJECTIVE:<br>Grab a friend and play some _Magic_ in this quick, casual 2-player Draft format.<br>GET READY:<br>Open six packs, remove all basic lands, ads, and tokens, and then shuffle the remaining cards together into a *stack* without looking at them. Place the stack face down, and then take the top four cards of the stack and place each one face up to create the beginnings of *four separate piles.*<br>Randomly determine who drafts first. The first player to draft chooses one of the four piles and adds it to their draft pool. Place a new card from the stack onto each pile, including the empty spot. Then it is the next player's turn to draft. They also draft an entire pile and|Modern Horizons 2 Minigames|Common|||1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/1/winchester-draft-winchester-draft-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/233c8fbd-7ad7-4271-8e39-64b70c16b492.jpg?1630479556, FLIPID=-233c8fbd-7ad7-4271-8e39-64b70c16b492}
-233c8fbd-7ad7-4271-8e39-64b70c16b492|Winchester Draft // Winchester Draft (cont'd) (double_faced_token)||Card|||then add a new card to each pile.<br>Take turns until all the cards have been drafted.<br>When drafting is done, each player builds a 40-card deck from their draft pool, including additional basic lands added as necessary.<br>LET'S PLAY:<br>Randomly determine who goes first, then play a game of _Magic_!<br>Play a best-of-three match. Each player may sideboard using the rest of their drafted cards between games.<br>TO WIN: The player who wins the best-of-three wins!|Modern Horizons 2 Minigames|Common|||1b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/1/winchester-draft-winchester-draft-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/3/233c8fbd-7ad7-4271-8e39-64b70c16b492.jpg?1630479556, FLIPID=233c8fbd-7ad7-4271-8e39-64b70c16b492}
bb2b0250-4b48-43bc-ad08-8fd9092bbba6|Foraging Squirrels // Foraging Squirrels (cont'd)||Card|||2-4 players &vert; 2 packs &vert; 5 min<br>OBJECTIVE:<br>You're a cute squirrel, which is great; however, you need to collect food for the winter along with the rest of the squirrels, and you're all competing for the same food strewn across the forest floor. Scramble to get the best stuff!<br>GET READY:<br>Open both packs and remove all cards without _Magic_ card backs. *Select one art card* and shuffle it in with the rest of the cards, which represent the food. Deal the cards face up in a 5x5 grid. Randomly determine who goes first.<br>LET'S PLAY:<br>On your turn, choose a *color* (including colorless). Then move the art card either vertically or horizontally on the grid, skipping empty spaces and collecting each card in your path that matches your chosen color. (Reminder: Lands are colorless.) The art card can move in only one direction per turn, and|Modern Horizons 2 Minigames|Common|||2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/2/foraging-squirrels-foraging-squirrels-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb2b0250-4b48-43bc-ad08-8fd9092bbba6.jpg?1630479569, FLIPID=-bb2b0250-4b48-43bc-ad08-8fd9092bbba6}
-bb2b0250-4b48-43bc-ad08-8fd9092bbba6|Foraging Squirrels // Foraging Squirrels (cont'd) (double_faced_token)||Card|||it stops moving when it reaches the edge of the grid or if the next card in that direction doesn't match your chosen color. It replaces the last card collected, leaving empty spaces where any previously collected cards were. Then play passes to the next player.<br>After the first player takes their first turn, each other player can *dig* once per game, moving a card to an empty space before or after moving the art card on their turn.<br>TO WIN:<br>Play continues until no cards remain in any horizontal or vertical direction from the art card. Players score 1 point per card they've collected, plus 1 bonus point for each of the following achievements:<br>• Most foils<br>• Most rares and mythics<br>• Most unique colors (including colorless)<br>• Most cards with squirrels in the art<br>If players tie for a category, they each receive a bonus point. The squirrel with the most food—that is, the player with the most points—wins!|Modern Horizons 2 Minigames|Common|||2b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/2/foraging-squirrels-foraging-squirrels-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/b/bb2b0250-4b48-43bc-ad08-8fd9092bbba6.jpg?1630479569, FLIPID=bb2b0250-4b48-43bc-ad08-8fd9092bbba6}
eaec2bb4-ffb8-4f8b-911c-807b5c424929|Mishra's Manufactory // Mishra's Manufactory (cont'd)||Card|||2-4 players &vert; 2-4 packs &vert; 10 min<br>OBJECTIVE:<br>Take on the role of one of Mishra's assembly workers and assemble the best invention from the mishmash of parts streaming down the conveyor belt. Strategically collect cards based on their color to win.<br>GET READY:<br>Open one booster for each player, remove all cards without _Magic_ card backs, and shuffle the rest together. Reveal four cards in a row stretching from the deck. These form the *conveyor belt*. The two cards closest to the deck are at the *back of the line* and the other two cards are at the *front*. Randomly determine who goes first.<br>LET'S PLAY:<br>On their turn, each player drafts one card from the conveyor belt. The two cards at the front of the line are free, but a player must discard a card they've already collected to draft a card from the back of the|Modern Horizons 2 Minigames|Common|||3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/3/mishras-manufactory-mishras-manufactory-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/eaec2bb4-ffb8-4f8b-911c-807b5c424929.jpg?1630479571, FLIPID=-eaec2bb4-ffb8-4f8b-911c-807b5c424929}
-eaec2bb4-ffb8-4f8b-911c-807b5c424929|Mishra's Manufactory // Mishra's Manufactory (cont'd) (double_faced_token)||Card|||line. Cards then slide forward to fill in the gap, and a card from the deck is added to the back of the line. Drafted cards are kept face up in front of each player, grouped by color (including colorless.) Play then passes clockwise.<br>Lands are wild (they count as any color, including colorless), and a multicolored card can be any of its colors. When you draft a wild or multicolored card, declare its color and place it in the corresponding group.<br>TO WIN:<br>The game ends when all cards have been collected. For each color, the player with the largest group of cards of that color gets *3 points*, and the player with the second largest group gets *2 points*. The card with the highest mana value breaks ties. If there is still a tie, each tied player gets half the points, rounded up.<br>Players also earn points for the number of groups they've collected: four groups = *2 points*, five groups = *4 points*, six groups = *6 points*.<br>The player with the most points wins!|Modern Horizons 2 Minigames|Common|||3b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/3/mishras-manufactory-mishras-manufactory-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/a/eaec2bb4-ffb8-4f8b-911c-807b5c424929.jpg?1630479571, FLIPID=eaec2bb4-ffb8-4f8b-911c-807b5c424929}
ebaadec6-6db2-48ab-b319-553944101724|Urza's Blueprints (minigame) // Urza's Blueprints (cont'd)||Card|||2+ players &vert; 2+ packs &vert; 10 min<br>OBJECTIVE:<br>You've unearthed Urza's ancient blueprints for his Power Plant, Tower, and Mine! Race your fellow artificers to assemble all three iconic locations.<br>GET READY:<br>Open a booster for each player and remove any cards without _Magic_ card backs. Shuffle the remaining cards into a deck and deal five cards to each player. Randomly determine who goes first.<br>LET'S PLAY:<br>On each player's turn, they draw a card, then discard a card face up. Players may draw either the top card of the deck or the top card of the discard pile. If there are no cards left in the deck when a player tries to draw, shuffle the discard pile to form a new deck.|Modern Horizons 2 Minigames|Common|||4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/4/urzas-blueprints-(minigame)-urzas-blueprints-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/ebaadec6-6db2-48ab-b319-553944101724.jpg?1652431622, FLIPID=-ebaadec6-6db2-48ab-b319-553944101724}
-ebaadec6-6db2-48ab-b319-553944101724|Urza's Blueprints (minigame) // Urza's Blueprints (cont'd) (double_faced_token)||Card|||After discarding, if a player has all the cards required for a new location (see below), they may reveal those cards and note they have constructed their version of that location. They must then discard all cards in their hand and draw a new hand of five cards. Play then passes to the next player.<br>Foils are wild and can cont as any color, mana value, or card type.<br>TO WIN:<br>The first player to construct all three locations wins!<br>THE LOCATIONS:<br>*Mine:* Requires five cards with different card types. (Creature, artifact, land, etc.)<br>*Power Plant:* Requires one card of each color. (White, blue, black, red, and green. Multicolored cards count as one color of your choice. Lands are colorless.)<br>*Tower:* Requires five cards with different mana values. (Lands have mana value 0.)|Modern Horizons 2 Minigames|Common|||4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/4/urzas-blueprints-(minigame)-urzas-blueprints-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/b/ebaadec6-6db2-48ab-b319-553944101724.jpg?1652431622, FLIPID=ebaadec6-6db2-48ab-b319-553944101724}
9d5b1779-1ec6-4c16-8bb4-38fc303af0c8|Totally Lost in Translation // Totally Lost in Translation (cont'd)||Card|||2-6 players &vert; 3 packs &vert; 15 minutes &vert; d20<br>OBJECTIVE:<br>Work together to score as many points as possible by deciphering your teammates' clues and correctly guessing the mystery card.<br>GET READY:<br>Open three boosters and remove any cards without _Magic_ card backs. Shuffle the remaining cards into a face down deck. Randomly determine who goes first—that player is the *Interpreter*.<br>LET'S PLAY:<br>The interpreter draws a *mystery card* from the top of the deck, rolls a d20, and then gives a clue determined by the result of their roll (see opposite side of card). The Interpreter then draws five more cards from the deck, shuffles them together with the mystery card, and then reveals them. The other players collectively guess which of the six cards is the mystery card. If they guess correctly, all players score 1 point as a team. After guessing, the round ends and the Interpreter puts the used cards in a discard pile. If the deck runs out of cards, shuffle the discard pile to create a new deck.<br>The Interpreter role then passes to the next player. The game ends after six rounds.|Modern Horizons 2 Minigames|Common|||5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/5/totally-lost-in-translation-totally-lost-in-translation-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/d/9d5b1779-1ec6-4c16-8bb4-38fc303af0c8.jpg?1630479574, FLIPID=-9d5b1779-1ec6-4c16-8bb4-38fc303af0c8}
-9d5b1779-1ec6-4c16-8bb4-38fc303af0c8|Totally Lost in Translation // Totally Lost in Translation (cont'd) (double_faced_token)||Card|||TO WIN:<br>After the end of the sixth round, count up your points and get your team ranking! 4+ is a winning score!<br>0-1 points: Common, 2-3 points: Uncommon, 4-5 points: Rare, 6 points: Mythic. 4+ is a winning score!<br>CLUE RESTRICTIONS:<br>1. Name a mood.<br>2. Name a type of plant.<br>3. Name a movie or TV show.<br>4. Name a game.<br>5. Name a household item.<br>6. Name a food.<br>7. Name a beverage.<br>8. Name a geographic location.<br>9. Name a celebrity or historical figure.<br>10. Name a landmark.<br>11. Hum or sing part of a song.<br>12. Make a sound effect.<br>13. Show a photo saved on your phone.<br>14. Show an emoji on your phone.<br>15. Make a gesture with one hand.<br>16. Draw a shape in the air.<br>17. Perform a puppet show.<br>18. Act out a scene without talking.<br>19. Make a facial expression.<br>20. Draw a picture with your eyes closed.<br>When doing a naming clue, don't name a word in the card name.|Modern Horizons 2 Minigames|Common|||5b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/mmh2/5/totally-lost-in-translation-totally-lost-in-translation-(contd)?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/9/d/9d5b1779-1ec6-4c16-8bb4-38fc303af0c8.jpg?1630479574, FLIPID=9d5b1779-1ec6-4c16-8bb4-38fc303af0c8}
